,age,sex,income,height,city,education,children
19409,49,Female,66411,1.71,Houston,Master,3
19410,27,Female,96703,1.88,Los Angeles,PhD,0
19411,89,Female,96452,1.9,Los Angeles,No especificado,3
19414,1,Female,25351,1.89,Houston,PhD,1
19415,31,Male,21274,1.74,Los Angeles,No especificado,4
19416,85,Male,70614,1.64,Los Angeles,Bachelor,5
19417,43,Female,56842,1.94,Chicago,No especificado,5
19419,50,Male,81494,1.7,Chicago,PhD,0
19421,48,Male,74024,1.93,Houston,Master,5
19423,6,Female,52161,1.57,Houston,No especificado,3
19424,20,Male,49083,1.83,New York,No especificado,0
19425,19,Male,84548,1.72,Los Angeles,Bachelor,5
19426,77,Male,23959,1.82,Chicago,PhD,1
19427,32,Female,53630,1.74,Houston,PhD,3
19428,80,Female,25766,1.93,New York,Bachelor,4
19429,86,Female,28063,1.81,New York,Master,4
19430,34,Female,53108,1.56,Los Angeles,PhD,0
19431,55,Male,73089,1.85,New York,PhD,2
19432,88,Female,71894,1.78,Los Angeles,PhD,1
19433,74,Male,51187,1.61,Chicago,Bachelor,0
19434,91,Female,89457,1.68,Houston,PhD,3
19435,81,Female,83924,1.57,Phoenix,PhD,1
19436,40,Male,33708,1.71,Houston,Master,0
19437,27,Male,20388,1.87,New York,Bachelor,0
19438,84,Male,85036,1.58,New York,Bachelor,4
19439,95,Male,32603,1.58,New York,Master,5
19440,35,Male,74289,1.91,Chicago,Bachelor,0
19441,53,Male,37116,1.53,Houston,PhD,5
19442,89,Male,95603,1.5,Houston,PhD,1
19443,2,Male,41795,1.75,New York,Master,4
19444,54,Male,72666,1.56,Phoenix,No especificado,0
19445,53,Female,94326,1.67,New York,PhD,5
19446,49,Female,34455,1.81,Houston,Bachelor,4
19447,36,Male,23572,1.86,Phoenix,Bachelor,0
19449,100,Female,52921,2.0,Phoenix,Master,2
19450,63,Male,50238,1.65,Chicago,PhD,1
19451,33,Male,52384,1.79,Los Angeles,Bachelor,2
19452,77,Male,88532,1.55,New York,Bachelor,3
19453,2,Male,83840,1.94,Los Angeles,Master,2
19454,81,Male,63516,1.88,Los Angeles,Master,5
19455,89,Male,28449,1.84,Phoenix,No especificado,2
19456,51,Male,90003,1.59,Phoenix,No especificado,2
19457,6,Male,66749,1.61,Phoenix,PhD,2
19458,90,Female,94175,1.69,New York,Master,1
19459,99,Male,68818,1.73,Los Angeles,No especificado,3
19460,58,Female,35182,1.6,Phoenix,No especificado,4
19461,17,Female,97762,1.61,Houston,PhD,3
19462,85,Female,68355,1.62,New York,No especificado,2
19463,89,Female,40369,1.62,Los Angeles,Master,3
19464,29,Female,22203,1.9,Chicago,No especificado,5
19465,10,Male,23211,1.69,New York,Bachelor,0
19466,82,Male,90181,1.76,New York,PhD,1
19467,15,Female,63121,1.71,Los Angeles,PhD,3
19468,15,Female,56598,1.62,Los Angeles,Bachelor,4
19469,21,Female,77831,1.68,Houston,PhD,5
19470,63,Male,58643,1.99,Houston,Bachelor,4
19471,9,Female,35426,1.81,Phoenix,No especificado,1
19472,24,Female,86729,1.97,New York,Master,5
19473,69,Male,83305,1.82,Los Angeles,Bachelor,4
19474,42,Female,21106,1.68,New York,Bachelor,5
19475,22,Male,78708,1.89,Houston,Master,4
19476,95,Male,56283,1.58,Chicago,Bachelor,3
19477,33,Female,96744,1.85,Chicago,Bachelor,4
19478,88,Male,22965,1.5,New York,PhD,5
19479,92,Female,63260,1.65,Chicago,No especificado,3
19480,89,Female,73810,1.92,Houston,Bachelor,0
19481,51,Female,67928,1.8,New York,PhD,5
19482,37,Female,93773,1.6,Chicago,Master,4
19483,69,Female,46217,1.61,New York,Master,3
19484,37,Female,34153,1.52,Chicago,Bachelor,5
19485,37,Male,67016,1.74,Phoenix,Master,0
19488,14,Female,26710,1.86,Chicago,Bachelor,4
19489,98,Male,37151,1.69,Houston,No especificado,3
19490,16,Female,98929,1.74,New York,PhD,2
19491,51,Female,23967,1.66,Los Angeles,Bachelor,5
19492,26,Male,49812,1.93,Los Angeles,No especificado,3
19493,12,Female,83087,1.63,Houston,Master,1
19494,72,Male,80062,1.94,New York,PhD,1
19495,64,Male,47661,1.93,Phoenix,PhD,2
19496,26,Female,86603,1.67,New York,No especificado,1
19497,17,Male,81165,1.64,New York,Master,0
19498,67,Male,83079,1.53,Los Angeles,Bachelor,3
19499,5,Male,24433,1.55,Los Angeles,PhD,1
19500,61,Female,59863,1.88,Chicago,PhD,0
19501,62,Female,49016,1.75,Los Angeles,PhD,1
19502,14,Male,23947,1.62,Los Angeles,PhD,5
19504,30,Female,38217,1.94,New York,Master,2
19506,50,Male,26914,1.63,Phoenix,No especificado,4
19507,24,Male,25598,1.84,Los Angeles,PhD,3
19508,11,Female,73369,1.88,Chicago,Master,1
19509,98,Female,57704,1.67,Los Angeles,PhD,1
19510,89,Male,67425,1.53,Los Angeles,Master,4
19511,9,Male,37357,1.76,New York,Bachelor,0
19512,31,Male,78373,1.93,Phoenix,No especificado,5
19513,56,Male,61062,1.84,Los Angeles,Bachelor,3
19514,79,Female,68424,1.89,Chicago,Bachelor,1
19515,48,Male,97667,1.82,Chicago,No especificado,1
19517,95,Female,65893,1.81,Los Angeles,Bachelor,4
19518,19,Male,78317,1.78,Phoenix,Master,0
19519,57,Female,61822,1.59,Phoenix,Master,3
19520,77,Male,25278,1.93,Chicago,Master,0
19522,6,Male,92613,1.52,New York,No especificado,1
19523,85,Male,82643,1.84,New York,Bachelor,1
19524,65,Male,55106,1.56,Phoenix,Bachelor,4
19525,99,Male,38330,1.96,Chicago,Bachelor,1
19526,25,Female,82548,1.98,Chicago,Bachelor,4
19527,99,Female,28854,1.6,New York,No especificado,2
19528,27,Male,86583,1.57,Los Angeles,Bachelor,0
19529,93,Male,31411,1.53,Houston,No especificado,3
19530,41,Male,38557,1.62,Los Angeles,PhD,0
19531,6,Male,34148,1.75,Chicago,No especificado,3
19532,73,Male,66424,1.69,Los Angeles,No especificado,1
19533,2,Male,70037,1.54,Los Angeles,No especificado,1
19534,20,Male,99531,1.83,New York,No especificado,5
19535,44,Female,82103,1.68,Houston,PhD,0
19536,33,Male,43261,1.99,Chicago,Master,0
19537,23,Male,88850,1.71,Houston,PhD,0
19538,45,Female,24342,1.62,New York,Bachelor,5
19539,60,Male,69820,1.66,Phoenix,Bachelor,5
19541,83,Female,74045,1.57,Los Angeles,No especificado,1
19542,8,Female,24475,1.61,New York,PhD,0
19543,51,Female,60864,1.84,Los Angeles,Bachelor,0
19544,49,Female,55351,1.54,Los Angeles,No especificado,3
19546,38,Female,45570,1.89,Houston,Bachelor,3
19547,65,Male,65125,1.78,Los Angeles,No especificado,1
19548,9,Female,51360,1.59,Phoenix,Bachelor,1
19550,24,Male,55799,1.76,Los Angeles,PhD,1
19551,81,Female,22577,1.8,New York,Master,2
19552,25,Male,95077,1.69,Phoenix,PhD,2
19553,43,Female,30429,1.59,Phoenix,No especificado,3
19555,93,Male,64167,1.58,Houston,Master,3
19556,57,Male,96957,1.98,Los Angeles,PhD,2
19557,4,Male,53235,1.57,New York,No especificado,2
19558,57,Male,97849,1.79,Phoenix,Bachelor,1
19559,9,Female,38470,1.88,New York,PhD,5
19560,32,Male,71348,1.82,Chicago,No especificado,3
19561,78,Female,73813,1.82,Los Angeles,Master,4
19562,68,Male,88341,1.99,New York,Master,4
19563,37,Male,21896,1.63,Houston,PhD,4
19564,72,Female,93693,1.59,Houston,PhD,5
19566,19,Male,28123,1.58,New York,Bachelor,2
19567,71,Male,98334,1.68,Phoenix,Master,5
19568,41,Female,32606,1.96,Phoenix,Bachelor,0
19569,8,Male,27772,1.66,New York,Master,5
19570,15,Female,60033,1.99,Los Angeles,No especificado,0
19571,88,Female,97574,1.9,Chicago,Bachelor,5
19572,9,Male,74978,1.6,New York,No especificado,1
19573,53,Female,23898,1.76,Chicago,Bachelor,3
19575,69,Female,21295,1.59,Phoenix,No especificado,1
19576,3,Male,68168,1.54,New York,PhD,2
19577,80,Female,68681,1.75,Phoenix,Master,0
19578,93,Female,93850,1.76,New York,No especificado,2
19579,22,Male,74194,1.9,Los Angeles,Bachelor,0
19580,93,Male,65222,1.67,Chicago,PhD,5
19581,42,Female,27354,1.51,New York,PhD,0
19582,48,Male,64468,1.8,Chicago,Bachelor,0
19583,5,Male,60967,1.67,Houston,PhD,3
19584,19,Female,32286,1.68,Phoenix,No especificado,0
19585,14,Female,76133,1.98,Chicago,Master,5
19586,88,Female,82891,1.83,Chicago,PhD,2
19587,30,Male,90075,1.96,Chicago,Bachelor,2
19588,1,Female,88267,1.57,Chicago,PhD,1
19589,49,Female,68379,1.85,Houston,No especificado,4
19590,1,Female,44002,1.69,Houston,PhD,3
19591,73,Male,87598,1.66,Phoenix,PhD,2
19593,50,Male,91345,1.65,New York,Bachelor,1
19594,99,Female,75104,1.67,Los Angeles,No especificado,1
19595,73,Female,91226,1.65,New York,PhD,1
19596,16,Female,69301,1.99,Los Angeles,Master,2
19597,29,Female,61691,1.84,Phoenix,No especificado,0
19598,98,Male,88944,1.81,Phoenix,Bachelor,3
19599,81,Female,46149,1.56,Chicago,Bachelor,3
19600,5,Female,81636,1.66,New York,Bachelor,1
19601,73,Male,94161,1.83,Chicago,Bachelor,5
19602,70,Female,89088,1.8,Phoenix,Bachelor,0
19603,10,Male,52534,1.54,Chicago,PhD,0
19604,3,Male,38493,1.54,Houston,Master,2
19605,84,Female,58343,1.93,Houston,Bachelor,0
19606,61,Male,44401,1.91,Chicago,Bachelor,1
19608,83,Male,46385,1.97,New York,Master,3
19609,50,Female,41394,1.66,Los Angeles,Bachelor,5
19610,37,Male,93861,1.7,Los Angeles,Master,1
19611,88,Female,53900,1.51,Los Angeles,Master,5
19612,79,Female,33015,1.5,Chicago,Master,1
19613,50,Male,60313,1.54,Houston,Master,3
19614,58,Male,91218,1.77,New York,PhD,0
19615,96,Male,59365,1.76,Chicago,PhD,4
19616,31,Male,73531,1.77,Houston,Master,3
19617,88,Female,86089,1.65,Los Angeles,Bachelor,2
19618,63,Male,79871,1.81,Chicago,No especificado,4
19619,79,Female,91624,1.97,Los Angeles,Bachelor,1
19620,33,Female,84773,1.57,Houston,No especificado,4
19621,45,Male,88130,1.5,Los Angeles,Master,2
19622,82,Male,25463,1.77,Houston,No especificado,3
19623,59,Female,81789,1.89,Chicago,No especificado,0
19624,62,Female,87563,1.54,Phoenix,No especificado,5
19625,20,Male,24299,1.99,Phoenix,PhD,1
19626,59,Female,52681,1.91,Phoenix,PhD,3
19627,69,Female,73009,1.64,Phoenix,No especificado,1
19628,47,Male,82049,1.9,Phoenix,Bachelor,4
19630,19,Male,69666,1.94,Chicago,PhD,5
19631,37,Female,79948,1.79,Houston,Master,3
19632,82,Female,66852,1.79,Los Angeles,PhD,0
19633,94,Female,23429,1.8,New York,PhD,4
19634,23,Male,46244,1.82,Chicago,Bachelor,2
19636,33,Female,31446,1.57,Phoenix,Bachelor,4
19637,21,Male,24772,1.58,Los Angeles,Master,4
19639,95,Female,35273,1.91,Houston,No especificado,0
19640,3,Female,77714,1.72,New York,No especificado,1
19641,56,Female,27181,1.55,New York,Master,3
19642,39,Male,92259,1.55,Phoenix,Master,5
19643,19,Female,72524,1.83,New York,Bachelor,4
19644,6,Female,50274,1.85,Houston,PhD,2
19645,59,Male,99080,1.54,New York,Bachelor,2
19646,53,Female,85203,1.76,Chicago,PhD,5
19647,91,Male,80629,1.57,Chicago,No especificado,0
19648,70,Female,63383,1.86,Los Angeles,No especificado,3
19649,30,Female,85286,1.75,Phoenix,Bachelor,5
19650,52,Female,23061,1.61,Los Angeles,PhD,2
19651,17,Female,92498,2.0,Phoenix,Master,3
19652,81,Male,32524,1.57,Phoenix,No especificado,5
19653,46,Male,99452,1.67,Houston,Master,2
19654,27,Female,79056,1.91,Phoenix,Bachelor,3
19655,52,Female,31842,1.67,Houston,Bachelor,2
19656,54,Female,53577,1.98,Phoenix,PhD,5
19657,54,Female,49273,1.52,Los Angeles,No especificado,4
19658,59,Male,47144,1.79,New York,PhD,5
19659,94,Male,87922,1.68,Houston,Master,1
19660,58,Female,77554,1.78,Houston,PhD,0
19662,50,Female,41840,1.62,New York,Bachelor,2
19663,60,Male,52129,1.99,Chicago,PhD,4
19664,47,Male,47965,1.83,Los Angeles,Master,3
19665,44,Female,98290,1.87,Houston,No especificado,3
19666,42,Male,52473,1.78,Chicago,Bachelor,4
19667,86,Male,30150,1.66,Houston,No especificado,4
19668,52,Female,76500,1.94,Houston,No especificado,2
19669,18,Male,75836,1.56,Los Angeles,PhD,3
19672,27,Male,70012,1.57,Chicago,Bachelor,1
19673,32,Male,30470,1.89,Chicago,PhD,3
19674,28,Female,50941,1.7,Chicago,Bachelor,1
19675,92,Male,55987,1.68,Phoenix,PhD,2
19676,25,Female,20965,1.81,Chicago,PhD,4
19677,73,Female,74165,1.75,Los Angeles,Bachelor,3
19678,25,Female,91680,1.62,Los Angeles,No especificado,0
19679,94,Female,79785,1.78,Phoenix,PhD,0
19681,80,Male,50007,1.65,Los Angeles,No especificado,4
19682,47,Male,58919,1.82,New York,Master,3
19683,60,Male,67151,1.98,Chicago,No especificado,1
19684,71,Female,38117,1.75,New York,PhD,4
19685,98,Female,65819,1.87,Los Angeles,PhD,0
19686,53,Female,59938,1.79,Phoenix,Bachelor,0
19687,48,Female,66927,1.73,New York,Bachelor,4
19688,83,Male,50228,1.71,Chicago,Master,2
19689,40,Female,69722,1.77,Houston,Bachelor,2
19690,28,Male,98726,1.99,Los Angeles,Master,4
19691,51,Male,92533,1.95,Phoenix,Master,5
19692,19,Male,23972,1.74,Phoenix,PhD,4
19693,61,Female,84687,1.55,New York,Master,4
19694,14,Male,64009,1.65,Houston,Master,4
19695,70,Male,53048,1.75,New York,Master,1
19696,84,Male,50269,1.51,Chicago,Master,5
19697,58,Female,61029,1.97,Phoenix,No especificado,1
19698,39,Male,97360,1.64,Chicago,No especificado,2
19699,100,Female,57694,1.79,New York,Master,1
19700,80,Male,34579,1.98,Phoenix,No especificado,3
19701,53,Female,38735,1.63,Phoenix,PhD,5
19702,7,Female,68794,1.55,Phoenix,Master,4
19703,26,Male,41788,1.54,Phoenix,Master,0
19704,28,Male,37207,1.58,Phoenix,No especificado,4
19705,44,Female,97193,1.7,Phoenix,Master,5
19706,71,Male,38460,1.77,Houston,Master,0
19707,21,Male,97859,1.85,New York,PhD,1
19708,85,Male,45067,1.97,Phoenix,Bachelor,1
19709,50,Male,92414,1.53,Phoenix,PhD,0
19710,67,Female,63937,1.74,Chicago,No especificado,3
19711,56,Female,39289,1.85,Houston,Master,0
19712,24,Male,27811,1.92,New York,Bachelor,5
19713,57,Male,73195,1.59,Houston,Bachelor,1
19714,4,Male,50898,1.53,Chicago,Bachelor,5
19715,89,Male,51425,1.69,Los Angeles,No especificado,4
19716,27,Male,97060,1.76,Houston,Bachelor,3
19717,50,Male,42467,1.74,Los Angeles,No especificado,3
19718,73,Female,49218,1.91,New York,PhD,2
19719,86,Female,92992,1.59,Los Angeles,PhD,1
19720,23,Female,31021,1.82,New York,PhD,4
19721,35,Female,68266,1.55,Chicago,Master,4
19722,96,Female,38868,1.71,Los Angeles,Master,3
19723,88,Male,96042,1.82,Los Angeles,Bachelor,0
19724,73,Female,99151,1.81,New York,Master,5
19725,99,Male,33423,1.78,Chicago,PhD,2
19727,83,Male,45328,1.66,Chicago,Bachelor,4
19729,74,Male,93278,1.8,Houston,Master,4
19731,20,Male,42326,1.61,New York,Bachelor,2
19732,53,Female,69109,1.62,Los Angeles,PhD,3
19733,41,Female,56234,1.51,Chicago,PhD,2
19734,60,Male,59153,1.85,Los Angeles,PhD,0
19735,32,Male,61158,1.62,Los Angeles,No especificado,0
19736,95,Male,93189,1.54,New York,PhD,4
19737,17,Female,28322,1.52,New York,Bachelor,2
19739,63,Male,48807,1.89,Phoenix,Master,5
19740,41,Female,20115,1.68,Houston,Master,4
19741,79,Female,69725,1.75,Houston,No especificado,1
19742,98,Male,33068,1.54,New York,Bachelor,0
19743,79,Male,59547,1.55,Houston,PhD,3
19744,68,Male,93272,1.99,Phoenix,Bachelor,4
19745,95,Male,59282,1.53,Chicago,PhD,0
19746,81,Female,21951,1.86,New York,No especificado,5
19747,5,Male,62367,1.86,Houston,No especificado,4
19748,87,Male,99062,1.95,New York,Bachelor,3
19749,13,Male,73292,1.87,Phoenix,Master,4
19750,9,Male,38025,1.69,Los Angeles,Bachelor,1
19751,11,Male,26279,1.64,Chicago,PhD,0
19752,3,Female,23867,1.53,Phoenix,Master,3
19753,2,Male,25797,1.57,Phoenix,PhD,4
19755,43,Male,99805,1.62,Los Angeles,No especificado,4
19756,12,Female,32952,1.99,Chicago,Bachelor,1
19757,41,Female,42750,1.67,New York,Master,5
19759,26,Male,65110,1.98,Phoenix,No especificado,3
19761,20,Female,25201,1.62,Chicago,Master,5
19762,28,Female,82191,1.59,Houston,Master,3
19766,80,Male,26377,1.54,Houston,Master,1
19767,41,Male,42034,1.71,Los Angeles,No especificado,1
19768,75,Female,23564,1.76,Houston,PhD,0
19769,58,Male,73595,1.54,Houston,No especificado,0
19770,61,Female,39265,1.77,New York,Master,5
19771,44,Male,65088,1.69,New York,No especificado,4
19772,91,Male,89544,1.72,Chicago,PhD,5
19773,23,Male,39640,1.99,Phoenix,No especificado,1
19774,38,Female,52395,1.52,Los Angeles,Master,5
19775,39,Female,31767,1.59,Los Angeles,Bachelor,0
19776,13,Male,74622,1.62,Houston,Bachelor,1
19777,72,Female,64362,1.82,Los Angeles,PhD,0
19778,21,Male,93470,1.92,Chicago,Bachelor,3
19779,20,Female,90904,1.85,Phoenix,Master,3
19780,21,Male,32262,1.97,Phoenix,No especificado,1
19781,54,Female,45358,1.8,Phoenix,Bachelor,0
19782,16,Male,86629,1.8,Chicago,Bachelor,1
19783,69,Male,63742,1.5,New York,Bachelor,5
19784,80,Male,79407,1.69,New York,Bachelor,2
19785,53,Female,78697,1.89,Phoenix,Bachelor,1
19787,72,Female,80544,1.93,New York,Master,1
19788,71,Female,33364,1.59,New York,PhD,0
19789,81,Male,80007,1.58,New York,Master,1
19790,61,Female,82877,1.57,New York,Bachelor,0
19791,90,Male,32949,1.54,Houston,PhD,0
19792,36,Female,75512,1.62,Los Angeles,PhD,3
19793,89,Female,62420,1.9,Chicago,Master,4
19794,32,Female,68900,1.73,New York,PhD,4
19795,15,Female,58936,1.7,New York,Bachelor,4
19796,85,Male,20594,1.81,Phoenix,Master,4
19797,19,Male,64381,1.78,Chicago,PhD,3
19798,57,Male,33444,1.52,New York,No especificado,5
19799,13,Male,70655,1.87,New York,Bachelor,1
19800,97,Male,51184,2.0,Houston,Bachelor,4
19801,6,Female,26738,1.66,Chicago,Bachelor,4
19802,18,Male,47297,1.96,Houston,Master,1
19803,49,Female,67685,1.85,Chicago,No especificado,5
19804,61,Female,41008,1.86,Chicago,Bachelor,1
19805,49,Female,28518,1.73,Phoenix,PhD,0
19806,62,Male,35300,1.53,Phoenix,Bachelor,3
19808,99,Female,51558,1.76,Los Angeles,Master,2
19809,3,Male,86275,1.93,New York,PhD,1
19810,76,Male,34845,1.5,Phoenix,Master,5
19811,89,Female,66917,1.73,New York,PhD,2
19812,47,Male,79432,1.96,Chicago,Master,2
19813,57,Male,74990,1.99,New York,No especificado,5
19814,75,Male,74175,1.71,Phoenix,Master,5
19815,74,Female,52555,1.55,Los Angeles,Master,0
19816,24,Male,92945,1.57,Los Angeles,PhD,5
19817,58,Male,96501,1.64,Chicago,PhD,4
19818,3,Male,94733,1.63,New York,Master,0
19819,63,Male,91652,1.8,Houston,Master,1
19821,73,Male,82074,1.97,Chicago,Bachelor,0
19823,44,Male,64847,1.53,New York,No especificado,0
19824,11,Female,34018,1.69,Los Angeles,PhD,4
19825,48,Male,98924,1.57,Phoenix,No especificado,5
19826,9,Female,20071,1.86,Houston,Master,3
19827,23,Female,43051,1.82,Chicago,Master,2
19828,18,Male,77226,1.8,Los Angeles,Bachelor,0
19829,80,Female,65206,1.91,Phoenix,PhD,4
19830,39,Female,82802,1.83,Houston,No especificado,4
19832,51,Female,51621,1.92,Los Angeles,Bachelor,2
19833,20,Female,48194,1.52,Chicago,No especificado,1
19834,15,Female,43639,1.77,Phoenix,PhD,2
19835,86,Male,55247,1.96,New York,PhD,4
19836,26,Female,96129,1.93,New York,No especificado,1
19837,82,Female,45277,1.51,Chicago,Bachelor,4
19838,42,Female,94326,2.0,Chicago,PhD,3
19839,38,Male,24665,1.51,Los Angeles,No especificado,5
19840,92,Female,65440,1.78,Chicago,Master,1
19842,46,Female,81548,1.89,Los Angeles,Master,2
19843,78,Male,21615,1.69,Phoenix,PhD,1
19844,64,Female,56877,1.92,Houston,Bachelor,2
19845,3,Male,69632,1.81,New York,PhD,4
19846,80,Male,33256,1.91,Houston,Bachelor,4
19847,76,Female,73039,1.6,Houston,Master,3
19848,54,Female,97218,1.66,Phoenix,Master,5
19849,22,Male,33366,1.56,Chicago,No especificado,0
19851,33,Female,72500,1.68,New York,Master,1
19852,25,Female,27393,1.68,Houston,No especificado,5
19853,66,Male,76958,1.77,New York,Master,1
19854,36,Female,50754,1.65,Phoenix,Master,1
19855,67,Male,35529,1.79,Los Angeles,No especificado,2
19857,63,Male,48628,1.92,Los Angeles,PhD,2
19858,41,Female,31246,1.69,Houston,PhD,3
19859,22,Female,36610,1.78,Houston,Master,1
19860,7,Male,53342,1.66,Phoenix,No especificado,0
19861,84,Female,57255,1.69,Chicago,No especificado,1
19862,31,Female,34791,1.65,Phoenix,PhD,5
19863,90,Female,51918,1.52,Phoenix,No especificado,4
19864,40,Female,74390,1.99,Chicago,No especificado,2
19865,34,Female,66081,1.73,New York,No especificado,1
19866,58,Male,27205,1.74,Los Angeles,No especificado,2
19867,56,Female,45229,1.9,Chicago,PhD,5
19868,44,Male,77174,1.68,Houston,Bachelor,0
19869,6,Female,69920,1.74,Los Angeles,PhD,2
19870,35,Female,85549,1.86,Los Angeles,No especificado,1
19871,96,Male,36181,1.6,New York,Bachelor,5
19873,85,Male,63534,1.92,Chicago,No especificado,3
19874,59,Female,33914,1.59,Chicago,Bachelor,4
19875,85,Female,81133,1.84,Chicago,PhD,5
19876,11,Male,89304,1.71,Phoenix,PhD,0
19877,43,Male,58758,1.53,Los Angeles,Bachelor,4
19878,71,Female,85016,1.66,Los Angeles,Master,1
19880,17,Female,80398,1.89,Phoenix,No especificado,5
19881,80,Female,53074,1.73,Los Angeles,No especificado,2
19882,2,Female,74230,1.56,Phoenix,Bachelor,3
19884,74,Female,24275,1.95,Phoenix,Bachelor,5
19885,3,Female,85486,1.81,Los Angeles,PhD,2
19886,39,Female,24322,1.6,New York,Master,0
19888,26,Male,51146,1.62,Houston,Bachelor,0
19889,61,Male,94628,1.67,Chicago,PhD,5
19890,49,Male,21934,1.57,Houston,Bachelor,3
19891,50,Female,71013,1.59,New York,No especificado,4
19892,5,Male,27485,1.99,Chicago,Master,4
19893,89,Male,79362,1.99,Houston,Master,1
19894,87,Female,63109,1.8,Houston,PhD,1
19896,90,Female,37680,1.62,Chicago,PhD,3
19897,49,Female,56202,1.62,Los Angeles,No especificado,0
19898,43,Male,96554,1.8,Houston,No especificado,1
19899,47,Male,57412,1.67,New York,No especificado,5
19900,66,Male,24745,1.66,Los Angeles,Bachelor,3
19901,55,Male,33964,1.68,Houston,Bachelor,3
19902,53,Male,22682,1.52,Houston,Master,4
19903,91,Male,94405,1.54,Phoenix,PhD,2
19904,44,Female,88394,1.57,Houston,No especificado,4
19905,17,Female,21779,1.79,Chicago,Master,5
19906,45,Male,96570,2.0,Phoenix,Master,4
19907,93,Female,65138,1.58,Los Angeles,No especificado,0
19908,34,Female,82206,1.94,Chicago,No especificado,0
19909,71,Male,24338,1.99,Houston,Master,2
19910,25,Female,46459,1.68,Los Angeles,Bachelor,5
19911,63,Female,92145,1.87,New York,Bachelor,2
19912,37,Male,81473,1.5,Los Angeles,PhD,5
19913,35,Male,85173,1.61,Phoenix,Master,3
19914,11,Female,22800,1.89,Phoenix,No especificado,0
19915,58,Male,72778,1.88,Phoenix,No especificado,2
19916,86,Male,80919,1.71,Phoenix,No especificado,5
19917,11,Male,32619,1.72,Los Angeles,No especificado,0
19918,86,Male,58248,1.76,Phoenix,Bachelor,2
19919,41,Female,21398,1.56,Phoenix,PhD,4
19920,66,Male,38514,1.61,Los Angeles,PhD,1
19922,3,Male,46429,1.81,New York,Bachelor,5
19923,17,Male,60098,1.82,Chicago,Bachelor,2
19924,98,Female,97635,1.58,New York,Bachelor,5
19925,14,Male,90294,2.0,New York,Master,0
19926,32,Female,86089,1.51,New York,Bachelor,2
19927,10,Male,92357,1.75,Phoenix,Master,5
19928,23,Female,51947,1.74,New York,PhD,1
19929,48,Female,34564,1.68,Los Angeles,Bachelor,0
19930,9,Female,39038,1.83,Chicago,Bachelor,0
19933,31,Female,74968,1.96,Houston,Bachelor,5
19934,100,Male,95351,1.63,New York,No especificado,5
19935,12,Male,74487,1.8,New York,Master,1
19936,10,Male,54901,1.89,New York,No especificado,0
19937,2,Male,47234,1.54,New York,PhD,3
19939,2,Female,64837,1.62,Houston,PhD,2
19940,95,Female,32071,1.62,Chicago,PhD,3
19941,44,Female,60044,1.58,Phoenix,PhD,1
19942,80,Female,76127,1.88,Los Angeles,No especificado,5
19943,10,Female,81237,1.68,Houston,Master,4
19944,20,Female,54410,1.87,Houston,No especificado,2
19945,75,Male,86133,1.83,Houston,No especificado,0
19947,59,Male,46344,1.69,Chicago,PhD,1
19948,81,Male,93444,1.84,Phoenix,No especificado,5
19950,86,Male,38083,1.84,New York,PhD,0
19951,14,Male,67195,1.79,Los Angeles,No especificado,3
19952,79,Male,65097,1.86,Houston,Bachelor,2
19953,16,Male,83413,1.83,Los Angeles,Bachelor,4
19954,8,Female,81643,1.55,Houston,Bachelor,1
19955,91,Male,81159,1.7,Chicago,No especificado,0
19956,18,Male,51968,1.61,Los Angeles,PhD,3
19958,96,Female,69916,1.5,Phoenix,Bachelor,5
19959,11,Female,35380,1.61,Chicago,Bachelor,0
19960,24,Female,66166,1.61,Houston,Master,5
19961,12,Female,79888,1.81,Houston,Master,0
19962,92,Female,22254,1.79,Houston,No especificado,0
19963,12,Female,30438,1.57,Phoenix,Bachelor,5
19964,1,Female,53771,1.67,Houston,PhD,1
19965,56,Male,65365,1.78,New York,No especificado,3
19966,88,Male,56507,1.92,Houston,PhD,2
19967,30,Female,35738,1.62,Chicago,PhD,1
19968,27,Female,86372,1.93,Los Angeles,No especificado,1
19969,7,Female,94346,1.79,New York,No especificado,2
19970,92,Male,44133,1.77,Los Angeles,PhD,5
19971,11,Female,42671,1.58,Los Angeles,Bachelor,0
19972,50,Male,27200,1.89,Los Angeles,No especificado,0
19973,42,Female,38421,1.71,Phoenix,Master,5
19974,81,Male,48376,1.71,Houston,Master,3
19975,68,Male,86099,1.57,Chicago,PhD,4
19976,25,Male,55835,1.61,New York,PhD,4
19977,61,Female,72199,1.81,New York,No especificado,1
19978,26,Male,30146,1.92,Phoenix,Bachelor,4
19979,91,Male,27736,1.6,Phoenix,Master,5
19981,78,Male,70840,1.89,Los Angeles,Master,2
19982,91,Male,82341,1.54,Los Angeles,PhD,2
19983,24,Male,67445,1.57,Phoenix,PhD,4
19985,37,Female,47334,1.77,New York,No especificado,1
19986,94,Male,49577,1.73,New York,Bachelor,1
19987,87,Male,68875,1.76,Houston,Master,3
19988,76,Female,28809,1.55,Los Angeles,Master,3
19990,57,Female,39894,1.75,Chicago,No especificado,5
19991,24,Male,52257,1.97,Houston,Master,2
19992,65,Male,69777,1.93,New York,PhD,1
19993,1,Male,89039,1.64,Phoenix,PhD,4
19994,11,Male,21820,1.62,Los Angeles,No especificado,3
19995,23,Male,74042,1.89,Los Angeles,PhD,5
